,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
1,Piso en calle de Santa Isabel  42  LavapiésEmbajadores  Madrid,1490,2 hab 76 m Planta 3 exterior con ascensor 20 horas,Piso,"Embajadores, Madrid",2 hab, 76 m
2,Ático en San Carlos  6  LavapiésEmbajadores  Madrid,2430,2 hab 82 m Planta 2 exterior con ascensor 12 horas,Ático,"Embajadores, Madrid",2 hab, 82 m
3,Piso en calle del Divino Pastor  MalasañaUniversidad  Madrid,1800,2 hab 77 m Planta 1 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 77 m
4,Piso en plaza de Corcubión  1  Pilar  Madrid,950,2 hab 52 m Planta 3 exterior con ascensor 12 horas,Piso,"Pilar, Madrid",2 hab, 52 m
5,Piso en calle Donoso Cortés  Gaztambide  Madrid,3000,5 hab 130 m Planta 5 exterior con ascensor,Piso,"Gaztambide, Madrid",5 hab, 130 m
6,Dúplex en calle de Vallehermoso  104  Vallehermoso  Madrid,980,1 hab 45 m Planta 6 interior con ascensor 12 horas,Dúplex,"Vallehermoso, Madrid",1 hab, 45 m
7,Piso en avenida del talgo  Aravaca  Madrid,1200,2 hab 70 m Planta 4 exterior con ascensor,Piso,"Aravaca, Madrid",2 hab, 70 m
8,Piso en calle de las Delicias  Palos de Moguer  Madrid,1900,3 hab 81 m Planta 3 exterior sin ascensor 12 horas,Piso,"Palos de Moguer, Madrid",3 hab, 81 m
9,Piso en Estrella  Madrid,2500,3 hab 165 m exterior con ascensor,Piso,"Estrella, Madrid",3 hab, 165 m
10,Piso en calle de María Panés  Nuevos MinisteriosRíos Rosas  Madrid,2190,3 hab 75 m Planta 4 exterior con ascensor 12 horas,Piso,"Ríos Rosas, Madrid",3 hab, 75 m
11,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1395,3 hab 132 m Bajo exterior con ascensor,Piso,"El Cañaveral, Madrid",3 hab, 132 m
12,Piso en calle Cabo Nicolás Mur  San Isidro  Madrid,895,3 hab 75 m Planta 2 exterior sin ascensor 12 horas,Piso,"San Isidro, Madrid",3 hab, 75 m
13,Piso en MalasañaUniversidad  Madrid,3100,3 hab 170 m exterior con ascensor,Piso,"Universidad, Madrid",3 hab, 170 m
14,Piso en calle del Doctor Cortezo  LavapiésEmbajadores  Madrid,2200,4 hab 145 m Planta 4 exterior con ascensor 12 horas,Piso,"Embajadores, Madrid",4 hab, 145 m
15,Piso en Castilla  Madrid,3950,3 hab 171 m Planta 1 exterior con ascensor,Piso,"Castilla, Madrid",3 hab, 171 m
16,Piso en calle de la Infanta Mercedes  Cuatro Caminos  Madrid,1495,3 hab 80 m Planta 7 exterior con ascensor 12 horas,Piso,"Cuatro Caminos, Madrid",3 hab, 80 m
17,Piso en Argüelles  Madrid,2500,1 hab 73 m Planta 12 exterior con ascensor,Piso,"Argüelles, Madrid",1 hab, 73 m
18,Piso en calle de Fray José Cerdeiriña  Águilas  Madrid,700,2 hab 65 m Planta 5 exterior sin ascensor 12 horas,Piso,"Águilas, Madrid",2 hab, 65 m
19,Piso en calle de Tribulete  LavapiésEmbajadores  Madrid,1100,2 hab 47 m Planta 2 exterior con ascensor,Piso,"Embajadores, Madrid",2 hab, 47 m
20,Piso en calle villamanin  Lucero  Madrid,1100,3 hab 90 m Planta 11 exterior con ascensor 12 horas,Piso,"Lucero, Madrid",3 hab, 90 m
21,Piso en plaza de las Cortes  HuertasCortes  Madrid,1500,1 hab 60 m Planta 5 exterior con ascensor,Piso,"Cortes, Madrid",1 hab, 60 m
22,Piso en calle del Apóstol Santiago  68  Ventas  Madrid,890,1 hab 58 m Planta 5 exterior con ascensor 12 horas,Piso,"Ventas, Madrid",1 hab, 58 m
23,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1115,2 hab 94 m Planta 1 exterior con ascensor,Piso,"El Cañaveral, Madrid",2 hab, 94 m
24,Piso en Poeta Joan Maragall  CuzcoCastillejos  Madrid,2700,2 hab 89 m Planta 18 exterior con ascensor 11 horas,Piso,"Castillejos, Madrid",2 hab, 89 m
25,Piso en calle del Prado  HuertasCortes  Madrid,1490,2 hab 110 m Planta 1 interior con ascensor,Piso,"Cortes, Madrid",2 hab, 110 m
26,Piso en Nuñez de Balboa  56  Recoletos  Madrid,2700,1 hab 70 m Planta 2 exterior con ascensor 13 horas,Piso,"Recoletos, Madrid",1 hab, 70 m
27,Piso en calle de Francisco Silvela  Lista  Madrid,1590,1 hab 54 m Planta 1 exterior con ascensor,Piso,"Lista, Madrid",1 hab, 54 m
28,Dúplex en Mirasierra  Madrid,2800,3 hab 281 m Planta 3 exterior con ascensor 10 horas,Dúplex,"Mirasierra, Madrid",3 hab, 281 m
29,Piso en paseo De La Castellana  VentillaAlmenara  Madrid,2900,6 hab 225 m Planta 4 exterior con ascensor,Piso,"Almenara, Madrid",6 hab, 225 m
0,Piso en Nuñez de Balboa  56  Recoletos  Madrid,2700,1 hab 70 m Planta 2 exterior con ascensor 13 horas,Piso,"Recoletos, Madrid",1 hab, 70 m
1,Piso en Paseo De La Castellana  201  VentillaAlmenara  Madrid,1900,2 hab 90 m Planta 5 exterior con ascensor,Piso,"Almenara, Madrid",2 hab, 90 m
2,Dúplex en Mirasierra  Madrid,2800,3 hab 281 m Planta 3 exterior con ascensor 10 horas,Dúplex,"Mirasierra, Madrid",3 hab, 281 m
3,Piso en paseo Castellana  203  VentillaAlmenara  Madrid,1900,2 hab 90 m Planta 5 exterior con ascensor,Piso,"Almenara, Madrid",2 hab, 90 m
4,Piso en calle de la Oca  Vista Alegre  Madrid,945,2 hab 56 m Planta 3 exterior con ascensor 13 horas,Piso,"Vista Alegre, Madrid",2 hab, 56 m
5,Piso en calle del Gasómetro  Acacias  Madrid,1900,3 hab 110 m Bajo exterior sin ascensor 20 horas,Piso,"Acacias, Madrid",3 hab, 110 m
6,Dúplex en paseo de la Direccion  Berruguete  Madrid,1600,3 hab 145 m Planta 4 exterior con ascensor 13 horas,Dúplex,"Berruguete, Madrid",3 hab, 145 m
7,Piso en calle de Astorga  Ventas  Madrid,1400,3 hab 75 m Bajo exterior con ascensor,Piso,"Ventas, Madrid",3 hab, 75 m
8,Piso en calle de WadRas  Bellas Vistas  Madrid,780,2 hab 42 m Bajo interior sin ascensor 13 horas,Piso,"Bellas vistas, Madrid",2 hab, 42 m
9,Piso en alameda de osuna  50  Alameda de Osuna  Madrid,1700,3 hab 156 m Planta 3 exterior con ascensor,Piso,"Alamenda de Osuna, Madrid",3 hab, 156 m
10,Piso en calle del Barco  9  MalasañaUniversidad  Madrid,1050,2 hab 65 m Planta 2 interior con ascensor 13 horas,Piso,"Universidad, Madrid",2 hab, 65 m
11,Piso en calle del Conde de Aranda  Recoletos  Madrid,1900,1 hab 43 m Planta 6 interior con ascensor,Piso,"Recoletos, Madrid",1 hab, 43 m
12,Piso en Segovia  Palacio  Madrid,970,2 hab 37 m Bajo interior sin ascensor 14 horas,Piso,"Palacio, Madrid",2 hab, 37 m
13,Piso en El Santo de la Isidra  10  Los Ángeles  Madrid,800,1 hab 66 m Planta 4 exterior con ascensor,Piso,"Ángeles, Madrid",1 hab, 66 m
14,Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,2000,4 hab 106 m Planta 3 exterior con ascensor 26 minutos,Piso,"Pacífico, Madrid",4 hab, 106 m
15,Piso en Canillas  Madrid,4500,4 hab 323 m Planta 7 exterior con ascensor,Piso,"Canillas, Madrid",4 hab, 323 m
16,Chalet adosado en Aravaca  Madrid,2900,3 hab 120 m 14 horas,Chalet,"Aravaca, Madrid",3 hab, 120 m
17,Piso en calle la Granja de San Ildefonso  28  Ensanche de Vallecas  La Gavia  Madrid,1000,2 hab 73 m Planta 2 exterior con ascensor,Piso,"Gavia, Madrid",2 hab, 73 m
18,Piso en calle de Valencia  LavapiésEmbajadores  Madrid,750,1 hab 33 m Planta 1 interior sin ascensor 14 horas,Piso,"Embajadores, Madrid",1 hab, 33 m
19,Piso en calle de Maldonado  Lista  Madrid,3450,4 hab 200 m Planta 2 exterior con ascensor,Piso,"Lista, Madrid",4 hab, 200 m
20,Estudio en calle Embalse de Navacerrada  Ensanche de Vallecas  La Gavia  Madrid,795,33 m Planta 5 exterior con ascensor 14 horas,Estudio,"Gavia, Madrid",0 estudio,0 estudio
21,Piso en calle la Canción del Olvido  62  Los Ángeles  Madrid,932,2 hab 74 m Planta 1 exterior con ascensor,Piso,"Ángeles, Madrid",2 hab, 74 m
22,Piso en Vallehermoso  Arapiles  Madrid,1000,1 hab 50 m Planta 4 interior con ascensor 14 horas,Piso,"Arapiles, Madrid",1 hab, 50 m
23,Piso en calle de Caramuel  Puerta del Ángel  Madrid,1650,2 hab 67 m Planta 1 exterior sin ascensor,Piso,"Puerta del Ángel, Madrid",2 hab, 67 m
24,Piso en calle Martínez Corrochano  29  Adelfas  Madrid,800,1 hab 40 m Planta 1 exterior con ascensor 14 horas,Piso,"Adelfas, Madrid",1 hab, 40 m
25,Piso en calle Arte Pop  8  Ensanche de Vallecas  La Gavia  Madrid,820,1 hab 48 m Planta 7 exterior con ascensor,Piso,"Gavia, Madrid",1 hab, 48 m
26,Piso en plaza de Andrés Manjón  7  Castilla  Madrid,1400,2 hab 75 m Bajo exterior con ascensor 14 horas,Piso,"Castilla, Madrid",2 hab, 75 m
27,Piso en calle del Lucero del Alba  1  Los Ángeles  Madrid,940,2 hab 74 m Planta 4 exterior con ascensor,Piso,"Ángeles, Madrid",2 hab, 74 m
28,Piso en calle de Bretón de los Herreros  20  Nuevos MinisteriosRíos Rosas  Madrid,900,2 hab 50 m Planta 1 interior con ascensor 14 horas,Piso,"Ríos Rosas, Madrid",2 hab, 50 m
29,Piso en calle de Caramuel  Puerta del Ángel  Madrid,1650,2 hab 86 m Planta 1 exterior sin ascensor,Piso,"Puerta del Ángel, Madrid",2 hab, 86 m
0,Piso en calle del Olivar  44  LavapiésEmbajadores  Madrid,1200,2 hab 56 m Planta 2 exterior sin ascensor 2 horas,Piso,"Embajadores, Madrid",2 hab, 56 m
1,Piso en calle de Apolonio Morales  Nueva España  Madrid,2200,2 hab 98 m exterior con ascensor,Piso,"Nueva España, Madrid",2 hab, 98 m
2,Piso en calle de San Vicente Ferrer  MalasañaUniversidad  Madrid,950,1 hab 48 m Bajo exterior sin ascensor 2 horas,Piso,"Universidad, Madrid",1 hab, 48 m
3,Piso en Prosperidad  Madrid,2400,3 hab 110 m Planta 6 exterior con ascensor,Piso,"Prosperidad, Madrid",3 hab, 110 m
4,Piso en Nuevos MinisteriosRíos Rosas  Madrid,3900,4 hab 210 m Planta 3 exterior con ascensor 2 horas,Piso,"Ríos Rosas, Madrid",4 hab, 210 m
5,Piso en Argüelles  Madrid,1600,2 hab 77 m exterior con ascensor,Piso,"Argüelles, Madrid",2 hab, 77 m
6,Dúplex en calle de Manuel Tovar  Tres Olivos  Valverde  Madrid,950,1 hab 78 m Planta 1 exterior con ascensor 1 hora,Dúplex,"Valverde, Madrid",1 hab, 78 m
7,Ático en Fuente del Berro  Madrid,2950,3 hab 120 m exterior con ascensor,Ático," Fuente del Berro, Madrid",3 hab, 120 m
8,Piso en Berruguete  Berruguete  Madrid,915,2 hab 40 m Planta 2 interior sin ascensor 2 horas,Piso,"Berruguete, Madrid",2 hab, 40 m
9,Piso en Nueva España  Madrid,4000,4 hab 251 m Planta 3 exterior con ascensor,Piso,"Nueva España, Madrid",4 hab, 251 m
10,Piso en calle de Carranza  4  Trafalgar  Madrid,850,1 hab 30 m Planta 1 interior sin ascensor 2 horas,Piso,"Trafalgar, Madrid",1 hab, 30 m
11,Ático en BernabéuHispanoamérica  Madrid,2300,3 hab 102 m Planta 7 exterior con ascensor,Ático,"Hispanoamérica, Madrid",3 hab, 102 m
12,Piso en calle de la Virgen de los Peligros  HuertasCortes  Madrid,1200,1 hab 60 m Planta 1 exterior con ascensor 3 horas,Piso,"Cortes, Madrid",1 hab, 60 m
13,Piso en Valdemarín  Madrid,2900,4 hab 187 m Bajo exterior con ascensor,Piso,"Valdemarín, Madrid",4 hab, 187 m
14,Ático en calle de Ángel Muñoz  San Juan Bautista  Madrid,2000,2 hab 96 m Planta 3 exterior con ascensor 3 horas,Ático,"San Juan Bautista, Madrid",2 hab, 96 m
15,Piso en paseo del General Martínez Campos  Almagro  Madrid,3100,2 hab 178 m Planta 8 exterior con ascensor,Piso,"Almagro, Madrid",2 hab, 178 m
16,Piso en BernabéuHispanoamérica  Madrid,4800,5 hab 397 m Planta 4 exterior con ascensor 3 horas,Piso,"Hispanoamérica, Madrid",5 hab, 397 m
17,Piso en Quintana  Madrid,2400,4 hab 171 m Planta 3 exterior con ascensor,Piso,"Quintana, Madrid",4 hab, 171 m
18,Piso en Goya  Madrid,2450,2 hab 100 m Planta 5 exterior con ascensor 3 horas,Piso,"Goya, Madrid",2 hab, 100 m
19,Piso en calle de Fernández de la Hoz  Almagro  Madrid,2500,4 hab 172 m Planta 4 con ascensor,Piso,"Almagro, Madrid",4 hab, 172 m
20,Dúplex en paseo de Juan XXIII  40  Ciudad Universitaria  Madrid,2200,3 hab 130 m Planta 11 exterior con ascensor 3 horas,Dúplex,"Ciudad Universitaria, Madrid",3 hab, 130 m
21,Piso en calle de Núñez de Balboa  Recoletos  Madrid,7500,4 hab 269 m Planta 5 exterior con ascensor,Piso,"Recoletos, Madrid",4 hab, 269 m
22,Piso en calle de Castelló  Castellana  Madrid,1700,1 hab 65 m Planta 7 exterior con ascensor 3 horas,Piso,"Castellana, Madrid",1 hab, 65 m
23,Piso en calle de Atocha  HuertasCortes  Madrid,2600,3 hab 115 m Planta 1 exterior sin ascensor,Piso,"Cortes, Madrid",3 hab, 115 m
24,Piso en calle del Príncipe de Vergara  109  El Viso  Madrid,1450,2 hab 50 m Planta 5 exterior con ascensor 3 horas,Piso,"El Viso, Madrid",2 hab, 50 m
25,Piso en pasaje de Bisbal  Fuente del Berro  Madrid,2300,2 hab 100 m Planta 1 exterior con ascensor,Piso," Fuente del Berro, Madrid",2 hab, 100 m
26,Piso en calle de Juan Duque  10  Imperial  Madrid,825,1 hab 45 m Planta 2 interior con ascensor 3 horas,Piso,"Imperial, Madrid",1 hab, 45 m
27,Piso en Fuente del Berro  Madrid,2445,2 hab 110 m exterior con ascensor,Piso," Fuente del Berro, Madrid",2 hab, 110 m
28,Piso en calle de Juan Álvarez Mendizábal  44  Argüelles  Madrid,1250,3 hab 120 m Planta 3 interior sin ascensor 3 horas,Piso,"Argüelles, Madrid",3 hab, 120 m
29,Piso en calle de ODonnell  Goya  Madrid,9000,4 hab 350 m Planta 5 exterior con ascensor,Piso,"Goya, Madrid",4 hab, 350 m
0,Piso en Goya  Madrid,2450,2 hab 100 m Planta 5 exterior con ascensor 3 horas,Piso,"Goya, Madrid",2 hab, 100 m
1,Piso en Nueva España  Madrid,4000,4 hab 251 m Planta 3 exterior con ascensor,Piso,"Nueva España, Madrid",4 hab, 251 m
2,Dúplex en paseo de Juan XXIII  40  Ciudad Universitaria  Madrid,2200,3 hab 130 m Planta 11 exterior con ascensor 3 horas,Dúplex,"Ciudad Universitaria, Madrid",3 hab, 130 m
3,Ático en BernabéuHispanoamérica  Madrid,2300,3 hab 102 m Planta 7 exterior con ascensor,Ático,"Hispanoamérica, Madrid",3 hab, 102 m
4,Piso en calle de Castelló  Castellana  Madrid,1700,1 hab 65 m Planta 7 exterior con ascensor 3 horas,Piso,"Castellana, Madrid",1 hab, 65 m
5,Piso en Valdemarín  Madrid,2900,4 hab 187 m Bajo exterior con ascensor,Piso,"Valdemarín, Madrid",4 hab, 187 m
6,Piso en calle del Príncipe de Vergara  109  El Viso  Madrid,1450,2 hab 50 m Planta 5 exterior con ascensor 3 horas,Piso,"El Viso, Madrid",2 hab, 50 m
7,Piso en Quintana  Madrid,2400,4 hab 171 m Planta 3 exterior con ascensor,Piso,"Quintana, Madrid",4 hab, 171 m
8,Piso en calle de Juan Duque  10  Imperial  Madrid,825,1 hab 45 m Planta 2 interior con ascensor 3 horas,Piso,"Imperial, Madrid",1 hab, 45 m
9,Piso en paseo del General Martínez Campos  Almagro  Madrid,3100,2 hab 178 m Planta 8 exterior con ascensor,Piso,"Almagro, Madrid",2 hab, 178 m
10,Piso en calle de Juan Álvarez Mendizábal  44  Argüelles  Madrid,1250,3 hab 120 m Planta 3 interior sin ascensor 3 horas,Piso,"Argüelles, Madrid",3 hab, 120 m
11,Piso en calle de Fernández de la Hoz  Almagro  Madrid,2500,4 hab 172 m Planta 4 con ascensor,Piso,"Almagro, Madrid",4 hab, 172 m
12,Ático en calle del Cactus  1  Berruguete  Madrid,1100,1 hab 62 m Planta 2 interior con ascensor 3 horas,Ático,"Berruguete, Madrid",1 hab, 62 m
13,Piso en calle de Núñez de Balboa  Recoletos  Madrid,7500,4 hab 269 m Planta 5 exterior con ascensor,Piso,"Recoletos, Madrid",4 hab, 269 m
14,Piso en calle del Olivar  13  LavapiésEmbajadores  Madrid,750,1 hab 30 m Bajo con ascensor 3 horas,Piso,"Embajadores, Madrid",1 hab, 30 m
15,Piso en calle de Atocha  HuertasCortes  Madrid,2600,3 hab 115 m Planta 1 exterior sin ascensor,Piso,"Cortes, Madrid",3 hab, 115 m
16,Piso en calle Arturo Soria  328  Costillares  Madrid,1900,4 hab 160 m Planta 6 exterior con ascensor 3 horas,Piso,"Costillares, Madrid",4 hab, 160 m
17,Piso en calle de ODonnell  Goya  Madrid,9000,4 hab 350 m Planta 5 exterior con ascensor,Piso,"Goya, Madrid",4 hab, 350 m
18,Piso en calle de Guipúzcoa  6  Cuatro Caminos  Madrid,850,1 hab 50 m Bajo interior sin ascensor 3 horas,Piso,"Cuatro Caminos, Madrid",1 hab, 50 m
19,Piso en Fuente del Berro  Madrid,2445,2 hab 110 m exterior con ascensor,Piso," Fuente del Berro, Madrid",2 hab, 110 m
20,Estudio en calle de Buenavista  20  LavapiésEmbajadores  Madrid,950,60 m Planta 1 exterior sin ascensor 4 horas,Estudio,"Embajadores, Madrid",0 estudio,0 estudio
21,Piso en calle de la Costa Brava  Mirasierra  Madrid,1600,1 hab 60 m Planta 4 exterior con ascensor,Piso,"Mirasierra, Madrid",1 hab, 60 m
22,Ático en calle del Príncipe de Vergara  211  El Viso  Madrid,1450,2 hab 67 m Planta 10 exterior con ascensor 4 horas,Ático,"El Viso, Madrid",2 hab, 67 m
23,Piso en pasaje de Bisbal  Fuente del Berro  Madrid,2300,2 hab 100 m Planta 1 exterior con ascensor,Piso," Fuente del Berro, Madrid",2 hab, 100 m
24,Piso en Los Cármenes  Madrid,1700,3 hab 72 m Planta 3 exterior con ascensor 1 hora,Piso,"Los Cármenes, Madrid",3 hab, 72 m
25,Piso en paseo de la Dirección  161  Valdeacederas  Madrid,2500,3 hab 145 m Planta 9 exterior con ascensor,Piso,"Valdeacederas, Madrid",3 hab, 145 m
26,Piso en calle santa teresa  3  ChuecaJusticia  Madrid,1850,1 hab 63 m Planta 3 exterior con ascensor 4 horas,Piso,"Justicia, Madrid",1 hab, 63 m
27,Estudio en calle de Sor María de Ágreda  Ventas  Madrid,1000,42 m Bajo exterior sin ascensor 31 ago,Estudio,"Ventas, Madrid",0 estudio,0 estudio
28,Piso en Goya  Madrid,2800,3 hab 132 m Planta 1 exterior con ascensor 4 horas,Piso,"Goya, Madrid",3 hab, 132 m
29,Piso en calle de Núñez de Balboa  Recoletos  Madrid,4200,4 hab 220 m Planta 5 exterior con ascensor,Piso,"Recoletos, Madrid",4 hab, 220 m
0,Piso en calle santa teresa  3  ChuecaJusticia  Madrid,1850,1 hab 63 m Planta 3 exterior con ascensor 4 horas,Piso,"Justicia, Madrid",1 hab, 63 m
1,Estudio en calle de Sor María de Ágreda  Ventas  Madrid,1000,42 m Bajo exterior sin ascensor 31 ago,Estudio,"Ventas, Madrid",0 estudio,0 estudio
2,Piso en Goya  Madrid,2800,3 hab 132 m Planta 1 exterior con ascensor 4 horas,Piso,"Goya, Madrid",3 hab, 132 m
3,Piso en calle de Castelló  Recoletos  Madrid,2650,4 hab 139 m Planta 1 exterior con ascensor,Piso,"Recoletos, Madrid",4 hab, 139 m
4,Ático en calle Lozoya  Arapiles  Madrid,1400,41 m interior con ascensor 5 horas,Ático,"Arapiles, Madrid",0 estudio,0 estudio
5,Piso en calle de Lagasca  Castellana  Madrid,2800,3 hab 84 m Bajo interior con ascensor,Piso,"Castellana, Madrid",3 hab, 84 m
6,Piso en calle de Aristóteles  1  San Pascual  Madrid,1200,3 hab 90 m Planta 5 exterior con ascensor 6 horas,Piso,"San Pascual, Madrid",3 hab, 90 m
7,Piso en calle de Atocha  HuertasCortes  Madrid,2390,2 hab 75 m Planta 2 exterior con ascensor,Piso,"Cortes, Madrid",2 hab, 75 m
8,Piso en avenida de la Reina Victoria  Vallehermoso  Madrid,1800,3 hab 100 m Planta 6 exterior con ascensor 7 horas,Piso,"Vallehermoso, Madrid",3 hab, 100 m
9,Piso en calle de Lagasca  Castellana  Madrid,2700,2 hab 62 m Bajo interior con ascensor,Piso,"Castellana, Madrid",2 hab, 62 m
10,Piso en Palacio  Madrid,1750,2 hab 70 m Planta 3 interior con ascensor 8 horas,Piso,"Palacio, Madrid",2 hab, 70 m
11,Piso en calle de Triana  35  Nueva España  Madrid,1825,1 hab 25 m Planta 1 exterior sin ascensor,Piso,"Nueva España, Madrid",1 hab, 25 m
12,Piso en Almagro  Madrid,1900,1 hab 89 m Entreplanta exterior con ascensor 8 horas,Piso,"Almagro, Madrid",1 hab, 89 m
13,Estudio en calle de Triana  35  Nueva España  Madrid,1180,20 m Planta 1 exterior sin ascensor,Estudio,"Nueva España, Madrid",0 estudio,0 estudio
14,Piso en Ciudad Universitaria  Madrid,1600,2 hab 60 m Planta 8 exterior con ascensor 9 horas,Piso,"Ciudad Universitaria, Madrid",2 hab, 60 m
15,Piso en calle de Triana  35  Nueva España  Madrid,2230,2 hab 45 m Planta 1 exterior sin ascensor,Piso,"Nueva España, Madrid",2 hab, 45 m
16,Piso en plaza de Santa Catalina de los Donados  Sol  Madrid,2300,3 hab 127 m Bajo exterior con ascensor 11 horas,Piso,"Sol, Madrid",3 hab, 127 m
17,Estudio en calle de Triana  35  Nueva España  Madrid,1775,20 m Planta 1 exterior sin ascensor,Estudio,"Nueva España, Madrid",0 estudio,0 estudio
18,Piso en paseo de la Direccion  161  Valdeacederas  Madrid,2970,2 hab 100 m Planta 14 exterior con ascensor 11 horas,Piso,"Valdeacederas, Madrid",2 hab, 100 m
19,Estudio en calle de Triana  35  Nueva España  Madrid,1240,20 m Planta 1 exterior sin ascensor,Estudio,"Nueva España, Madrid",0 estudio,0 estudio
20,Piso en calle de Diego de León  52  Lista  Madrid,3500,5 hab 220 m Planta 3 exterior con ascensor 11 horas,Piso,"Lista, Madrid",5 hab, 220 m
21,Piso en calle de Don Ramón de la Cruz  Recoletos  Madrid,4500,2 hab 164 m Planta 4 exterior con ascensor,Piso,"Recoletos, Madrid",2 hab, 164 m
22,Dúplex en calle Ana de Austria  101  Sanchinarro  Madrid,3375,3 hab 120 m Planta 1 exterior con ascensor 11 horas,Dúplex,"Sanchinarro, Madrid",3 hab, 120 m
23,Piso en calle de Diego de León  Castellana  Madrid,3500,4 hab 200 m Planta 3 exterior con ascensor,Piso,"Castellana, Madrid",4 hab, 200 m
24,Piso en Vicente Muzas  Colina  Madrid,1050,1 hab 65 m Planta 4 exterior con ascensor 12 horas,Piso,"Colina, Madrid",1 hab, 65 m
25,Piso en Concepción  Madrid,2000,2 hab 90 m Planta 1 exterior con ascensor,Piso,"La Concepción, Madrid",2 hab, 90 m
26,Piso en calle de Coslada  11  Guindalera  Madrid,1200,2 hab 70 m Planta 2 exterior con ascensor 12 horas,Piso,"Guindalera, Madrid",2 hab, 70 m
27,Piso en calle San Martín de Porres  Ciudad Universitaria  Madrid,3700,5 hab 342 m Planta 5 exterior con ascensor,Piso,"Ciudad Universitaria, Madrid",5 hab, 342 m
28,Piso en calle Villa del Prado  Delicias  Madrid,1280,2 hab 148 m Planta 4 exterior con ascensor 12 horas,Piso,"Delicias, Madrid",2 hab, 148 m
29,Piso en calle de Jesús de Polanco  Peñagrande  Madrid,1800,2 hab 131 m Planta 1 exterior con ascensor,Piso,"Peñagrande, Madrid",2 hab, 131 m
