,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
10,Piso en calle Sierra de Pajarejo  7  Valdemarín  Madrid,1300,1 hab 75 m Planta 1 exterior con ascensor 17 horas,Piso,"Valdemarín, Madrid",1 hab, 75 m
11,Piso en calle Minas  7  MalasañaUniversidad  Madrid,950,2 hab 50 m Planta 2 interior sin ascensor,Piso,"Universidad, Madrid",2 hab, 50 m
12,Chalet pareado en calle de Formigal  Valdemarín  Madrid,5500,4 hab 336 m 16 horas,Chalet,"Valdemarín, Madrid",4 hab, 336 m
13,Piso en Recoletos  Madrid,2700,2 hab 135 m Planta 3 exterior con ascensor,Piso,"Recoletos, Madrid",2 hab, 135 m
14,Piso en avenida Betanzos  Pilar  Madrid,950,2 hab 60 m Planta 4 exterior con ascensor 17 horas,Piso,"Pilar, Madrid",2 hab, 60 m
15,Piso en calle de Amaniel  MalasañaUniversidad  Madrid,1300,1 hab 65 m Planta 1 exterior con ascensor,Piso,"Universidad, Madrid",1 hab, 65 m
16,Piso en calle Mozart  Casa de Campo  Madrid,1500,2 hab 105 m Planta 7 exterior con ascensor 17 horas,Piso,"Casa de Campo, Madrid",2 hab, 105 m
17,Estudio en Quintana  Madrid,650,29 m Bajo exterior sin ascensor 04 sep,Estudio,"Quintana, Madrid",0 estudio,0 estudio
18,Piso en calle de Altamirano  6  Argüelles  Madrid,1800,3 hab 62 m Planta 5 interior con ascensor 3 horas,Piso,"Argüelles, Madrid",3 hab, 62 m
19,Piso en HuertasCortes  Madrid,3500,3 hab 129 m Planta 6 exterior con ascensor,Piso,"Cortes, Madrid",3 hab, 129 m
20,Piso en Nuevos MinisteriosRíos Rosas  Madrid,2700,3 hab 141 m Bajo interior con ascensor 18 horas,Piso,"Ríos Rosas, Madrid",3 hab, 141 m
21,Dúplex en calle de Palafox  Trafalgar  Madrid,3900,2 hab 108 m Planta 4 exterior con ascensor,Dúplex,"Trafalgar, Madrid",2 hab, 108 m
22,Piso en calle del Monte Urgull  Numancia  Madrid,790,2 hab 39 m Planta 1 exterior sin ascensor 18 horas,Piso,"Numancia, Madrid",2 hab, 39 m
23,Estudio en calle de San Lorenzo  ChuecaJusticia  Madrid,2200,50 m Bajo exterior con ascensor,Estudio,"Justicia, Madrid",0 estudio,0 estudio
24,Piso en calle de Oliva de Plasencia  Águilas  Madrid,850,3 hab 75 m Planta 4 exterior con ascensor 18 horas,Piso,"Águilas, Madrid",3 hab, 75 m
